column	7_2009
testVal	1413
testVal	148
testVal	871
testVal	827
testVal	1090
testVal	340
testVal	422
testVal	994
testVal	8635
testVal	59629
testVal	1463
testVal	215
testVal	272
testVal	113
testVal	189
testVal	192
testVal	441
testVal	50
testVal	4217
testVal	674
testVal	708
testVal	736
testVal	491
testVal	635
testVal	2675
testVal	263
testVal	1175
testVal	5173
testVal	288
testVal	90
testVal	9299
testVal	1410
testVal	1137
testVal	946
testVal	208
testVal	210
testVal	1598
testVal	548
testVal	142
testVal	504
testVal	876
testVal	1717
testVal	273
testVal	813
testVal	754
testVal	1334
testVal	286
testVal	138
testVal	718
testVal	122
testVal	1045
testVal	357
testVal	2448
testVal	1092
testVal	7099
testVal	556
testVal	23806
testVal	361
testVal	1408
testVal	12493
testVal	749
testVal	284
testVal	151
testVal	77206
testVal	281
testVal	2359
testVal	76
testVal	888
testVal	352
testVal	457
testVal	3164
testVal	284
testVal	448
testVal	150
testVal	319
testVal	1031
testVal	72453
testVal	205
testVal	164
testVal	320
testVal	356
testVal	75
testVal	13805
testVal	265
testVal	323
testVal	600
testVal	503
testVal	41453
testVal	390
testVal	860
testVal	8560
testVal	497
testVal	346
testVal	940
testVal	514
testVal	3335
testVal	5467
testVal	320
testVal	487
testVal	96
testVal	2378
testVal	12
testVal	848
testVal	919
testVal	511
testVal	94
testVal	2772
testVal	1262
testVal	147
testVal	124
testVal	119
testVal	1124
testVal	560
testVal	172
testVal	1737
testVal	515
testVal	9540
testVal	314
testVal	165
testVal	8338
testVal	430
testVal	1215
testVal	1694
testVal	347
testVal	3584
testVal	10708
testVal	154
testVal	370
testVal	4001
testVal	198
testVal	673
testVal	1437
testVal	194155
testVal	3256
testVal	65
testVal	1378
testVal	644
testVal	129
testVal	904
testVal	6561
testVal	67082
testVal	148
testVal	1501
testVal	112
testVal	3001
testVal	444
testVal	575
testVal	64253
testVal	4434
testVal	320
testVal	418
testVal	1352
testVal	1304
testVal	109
testVal	2102
testVal	179
testVal	147
testVal	503
testVal	1050
testVal	1353
testVal	5045
testVal	1784
testVal	0
testVal	1767
testVal	1105
testVal	1906
testVal	403
testVal	2379
testVal	144
testVal	2578
testVal	36
testVal	162
testVal	163
testVal	630
testVal	257
testVal	10988
testVal	1540
testVal	5823
testVal	121
testVal	1449
testVal	1958
testVal	556
testVal	249
testVal	99
testVal	546
testVal	6542
testVal	235
testVal	316
testVal	660
testVal	382
testVal	1775
testVal	4146
testVal	157
testVal	1823
testVal	262
testVal	466
testVal	173
testVal	688
testVal	1737
testVal	4904
testVal	1288
testVal	50
testVal	110
testVal	917
testVal	356
testVal	154
testVal	1245
testVal	596
testVal	1005
testVal	162
testVal	403
testVal	477
testVal	303
testVal	11757
testVal	4013
testVal	4949
testVal	24181
testVal	2627
testVal	869
testVal	3464
testVal	1352
testVal	20615
testVal	20229
testVal	8087
testVal	1119
testVal	4811
testVal	41715
testVal	30706
testVal	2353
testVal	46259
testVal	8085
testVal	5416
testVal	424
testVal	3949
testVal	1782
testVal	7420
testVal	1242
testVal	28343
testVal	150
testVal	1121
testVal	260
testVal	433
testVal	4926
testVal	14335
testVal	1719
testVal	13223
testVal	254
testVal	2299
testVal	3060
testVal	4823
testVal	6168
testVal	45703
testVal	5302
testVal	3494
testVal	12064
testVal	1226
testVal	1576
testVal	1381
testVal	2906
testVal	10505
